8247189,30,,6276,Дзержинск,,39
1591517,57,,1,Москва,www.wedvictory.ru,1107
1620430,6,,282,Минск,,174
4623527,3,33,,,,71
4624537,1,33,282,Минск,"Чем больше живёшь, тем больше хочется.",82
5199685,2,,282,Минск,,127
5544249,36,33,649,Гродно,,565
5618267,9,,282,Минск,"Sometimes you eat the bear and sometimes the bear, well, he eats you.",21
6569856,0,,282,Минск,,30
6646375,7,,282,Минск,,70
8188282,9,,,,"женщины сами не знают, чего хотят, а мужчины хотят того, чего не знают",1015
8247189,30,,6276,Дзержинск,,39
10095861,23,31,282,Минск,,1240
12054237,1,,1113,Лида,изменить статус,8
16264909,79,,282,Минск,,935
16322485,26,,282,Минск,,320
19310332,3,,282,Минск,,2
19423946,3,,,,счастливое счастье ❤,8
24147085,12,,282,Минск,,16
25000984,10,,282,Минск,"Организация праздников, свадеб, живая музыка, концертная деятельность, аренда звука, муз школа, сайт vip-class.deal.by +375293388828",227
31463563,63,,,,❤❤ счастлива Я :),637
33300925,4,32,282,Минск,),164
37609822,62,,,,"У кого-то счастье в сыне,у кого-то в дочке.У меня двойное счастье: в дочке и сыночке!!!😆😙😍 ￼",292
38104446,9,,282,Минск,,422
40224170,45,,,,"Если мне плюют в спину,  значит я впереди!",2002
41045290,7,,538,Барановичи,,4
41577672,50,33,282,Минск,в ожидании чуда....  самая счастливая мама на свете,3040
49340777,6,,649,Гродно,,13
49678560,5,,282,Минск,В жизни есть одно простое счастье - жить для других)))...Толстой,175
50531503,36,,282,Минск,Фотограф +375292749254 свадебная и семейная фотография,346
50849917,26,,282,Минск,"Ничего нет лучше в мире – Говорю вам, не тая, – Чем отдельная квартира, И тем более своя!!!",266
52146077,23,35,282,Минск,"Самая большая сила мужчины - любящая женщина. Она - его честь, его вера, его достоинство!",296
58505495,3,,,,Inst: zhrulian,1
